region	bank	addr	len	symbol	role	sect	group	verify	desc
VRAM	-	$8000	2048	vChars0	entry	VRAM	graphics	rom,live	The first of three tile blocks in video RAM, `$8000-$87FF`. Objects are always fetched from here and the block above it.
VRAM	-	$8000	2048	vNPCSprites	alias	VRAM	graphics	rom,live	The overworld people's tiles.
VRAM	-	$8000	2048	vSprites	alias	VRAM	graphics	rom,live	Object tiles.
VRAM	-	$8800	2048	vTitleLogo	entry	VRAM	graphics	rom,live	Shares this VRAM block with `vChars1`/`vFont` — the same 2 KiB read as tile graphics before the title screen loads and as the game's font afterward; see those entries.
VRAM	-	$8800	2048	vChars1	alias	VRAM	graphics	rom,live	The middle tile block, `$8800-$8FFF`, reachable from both addressing modes.
VRAM	-	$8800	2048	vFont	alias	VRAM	graphics	rom,live	Where the text font lands. This is the block that makes the tilemap read back as text: load the font here in ASCII-ish order and a tile id becomes a character code.
VRAM	-	$8800	2048	vNPCSprites2	alias	VRAM	graphics	rom,live	
VRAM	-	$9000	784	vTileset	entry	VRAM	graphics	rom,live	The 96 background tiles a map's tileset loads into. Re-copied on every map load, which is why anything written here by a tool is clobbered at the next door.
VRAM	-	$9000	784	vFrontPic	alias	VRAM	graphics	rom,live	Where a Pokemon's front picture is decompressed to before a battle draws it.
VRAM	-	$9000	784	vChars2	instance	VRAM	graphics	rom,live	The last tile block, `$9000-$97FF`, only reachable by the background when the unsigned addressing mode is selected.
VRAM	-	$9310	1264	vTitleLogo2	entry	VRAM	graphics	rom,live	Shares this VRAM block with `vBackPic`, where a Pokémon's back picture is decompressed to; see that entry.
VRAM	-	$9310	1264	vBackPic	alias	VRAM	graphics	rom,live	Where the back picture is decompressed to.
VRAM	-	$9800	1024	vBGMap0	entry	VRAM	graphics	rom,live	The first 32x32 background tilemap. The 20x18 window the screen shows is a corner of it.
VRAM	-	$9C00	1024	vBGMap1	entry	VRAM	graphics	rom,live	The second background tilemap, used for transitions and for the window layer.
SRAM	0	$A000	392	sSpriteBuffer0	entry	Sprite Buffers	graphics	rom	One of three decompression buffers in **cartridge RAM**. Gen 1 stores its pictures compressed and unpacks them here — a good reminder that battery-backed RAM is not only for saves.
SRAM	0	$A188	392	sSpriteBuffer1	entry	Sprite Buffers	graphics	rom	Second sprite decompression buffer.
SRAM	0	$A310	648	sSpriteBuffer2	instance	Sprite Buffers	graphics	rom	Third sprite decompression buffer.
SRAM	0	$A598	4800	sHallOfFame	entry	Sprite Buffers	save	rom	Hall of Fame records: one team appended per victory, in cartridge RAM bank 1.
SRAM	0	$B858	1960	free:SRAM0:$B858	free	(unallocated)	system		
SRAM	1	$A000	1432	gap:SRAM1:$A000	gap	Save Data	save	rom	
SRAM	1	$A598	11	sPlayerName	entry	Save Data	save	rom	The saved player name. `LoadSAV` reads this first to decide whether a save exists at all.
SRAM	1	$A598	11	sGameData	alias	Save Data	save	rom	The whole saved game as one span, for the checksum routines.
SRAM	1	$A5A3	1929	sMainData	entry	Save Data	save	rom	The saved main-data block in cartridge RAM: the counterpart of `wMainDataStart` onwards. A `.sav` is raw cartridge RAM with no header, so a file offset *is* an offset from `$A000` in the bank.
SRAM	1	$AD2C	512	sSpriteData	entry	Save Data	save	rom	
SRAM	1	$AF2C	404	sPartyData	entry	Save Data	party	rom	The saved party, the same layout as `wPartyCount` onwards.
SRAM	1	$B0C0	1122	sCurBoxData	entry	Save Data	save	rom	
SRAM	1	$B522	1	sTileAnimations	entry	Save Data	save	rom	
SRAM	1	$B523	1	sMainDataCheckSum	entry	Save Data	save	rom	The checksum over `sMainData`. Edit a save by hand and this has to be fixed, or the game discards it.
SRAM	1	$B523	1	sGameDataEnd	alias	Save Data	save	rom	One past the run `CalcCheckSum` covers — numerically the same address as `sMainDataCheckSum`, which is where the complement of that byte sum is stored.
SRAM	1	$B524	2780	free:SRAM1:$B524	free	(unallocated)	system		
SRAM	2	$A000	1122	sBox1	entry	Saved Boxes 1	storage	rom	Stored box 1. Boxes 1-6 live in cartridge RAM bank 2 and boxes 7-12 in bank 3; each occupies `$462` bytes, which is the stride between consecutive `sBoxN` labels.
SRAM	2	$A462	1122	sBox2	instance	Saved Boxes 1	storage	rom	
SRAM	2	$A8C4	1122	sBox3	instance	Saved Boxes 1	storage	rom	
SRAM	2	$AD26	1122	sBox4	instance	Saved Boxes 1	storage	rom	
SRAM	2	$B188	1122	sBox5	instance	Saved Boxes 1	storage	rom	
SRAM	2	$B5EA	1122	sBox6	instance	Saved Boxes 1	storage	rom	
SRAM	2	$BA4C	1	sBank2AllBoxesChecksum	entry	Saved Boxes 1	storage	rom	One checksum over all six of this bank's boxes, sitting immediately after them at `$A000 + 6 x $462`. The per-box bytes follow it.
SRAM	2	$BA4D	6	sBank2IndividualBoxChecksums	entry	Saved Boxes 1	storage	rom	Six checksum bytes, one per box in this bank. A box that fails its checksum is not decoded; the trainer plugin refuses it with a note rather than showing wrong data.
SRAM	2	$BA53	1453	free:SRAM2:$BA53	free	(unallocated)	system		
SRAM	3	$A000	1122	sBox7	entry	Saved Boxes 2	storage	rom	Stored box 7, the first in cartridge RAM bank 3.
SRAM	3	$A462	1122	sBox8	entry	Saved Boxes 2	storage	rom	Stored box 8, in cartridge RAM bank 3.
SRAM	3	$A8C4	1122	sBox9	entry	Saved Boxes 2	storage	rom	Stored box 9.
SRAM	3	$AD26	1122	sBox10	entry	Saved Boxes 2	storage	rom	Stored box 10.
SRAM	3	$B188	1122	sBox11	entry	Saved Boxes 2	storage	rom	Stored box 11.
SRAM	3	$B5EA	1122	sBox12	entry	Saved Boxes 2	storage	rom	Stored box 12, the last in bank 3.
SRAM	3	$BA4C	1	sBank3AllBoxesChecksum	entry	Saved Boxes 2	storage	rom	The same for bank 3's six boxes.
SRAM	3	$BA4D	6	sBank3IndividualBoxChecksums	entry	Saved Boxes 2	storage	rom	Six checksum bytes, one per box in this bank.
SRAM	3	$BA53	1453	free:SRAM3:$BA53	free	(unallocated)	system		
WRAM0	-	$C000	1	wUnusedMusicByte	entry	Audio RAM	audio	rom,live	Declared and never read. Kept because removing it would move everything below it.
WRAM0	-	$C001	1	wSoundID	entry	Audio RAM	audio	rom,live	Which piece of music or sound effect to start. Writing it is how everything in the game asks for a noise.
WRAM0	-	$C002	1	wMuteAudioAndPauseMusic	entry	Audio RAM	audio	rom,live	Silences the hardware and freezes the sequencer, used while a menu is open.
WRAM0	-	$C003	1	wDisableChannelOutputWhenSfxEnds	entry	Audio RAM	audio	rom,live	Silences a music channel that a sound effect borrowed, rather than letting the note resume.
WRAM0	-	$C004	1	wStereoPanning	entry	Audio RAM	audio	rom,live	Which hardware channels reach which speaker.
WRAM0	-	$C005	1	wSavedVolume	entry	Audio RAM	audio	rom,live	Master volume saved across a fade.
WRAM0	-	$C006	16	wChannelCommandPointers	entry	Audio RAM	audio	rom,live	Where each channel is in its command stream — the sound engine is a little interpreter and this is its program counter.
WRAM0	-	$C016	16	wChannelReturnAddresses	entry	Audio RAM	audio	rom,live	Where a channel's command stream resumes after a subroutine call — the return-address stack for `wChannelCommandPointers`' own program counter. Measured across a real playthrough (walk, a forced battle, menus): written from bank 31 `$530A`, during battle-trigger, intro, walk/menus; 9 distinct values seen, 0-235.
WRAM0	-	$C026	8	wChannelSoundIDs	entry	Audio RAM	audio	rom,live	What each of the eight software channels is currently playing.
WRAM0	-	$C02E	8	wChannelFlags1	entry	Audio RAM	audio	rom,live	Per-channel state: whether a note is held, whether vibrato is on, and so forth.
WRAM0	-	$C036	8	wChannelFlags2	instance	Audio RAM	audio	rom,live	
WRAM0	-	$C03E	8	wChannelDutyCycles	entry	Audio RAM	audio	rom,live	The square channels' duty setting per software channel.
WRAM0	-	$C046	8	wChannelDutyCyclePatterns	entry	Audio RAM	audio	rom,live	Which of the four duty-cycle waveforms each square channel is currently using. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C04E	8	wChannelVibratoDelayCounters	entry	Audio RAM	audio	rom,live	Frames left before vibrato starts on each channel, counting down from `wChannelVibratoDelayCounterReloadValues`. Measured across a real playthrough (walk, a forced battle, menus): written from 3 places, chiefly bank 31 `$51F8`, during battle, battle-trigger, intro, post-battle menus, walk/menus; 10 distinct values seen, 0-9.
WRAM0	-	$C056	8	wChannelVibratoExtents	entry	Audio RAM	audio	rom,live	How far each channel's vibrato swings the pitch. Measured across a real playthrough (walk, a forced battle, menus): changed value, during battle-trigger, intro; values seen: [0, 33].
WRAM0	-	$C05E	8	wChannelVibratoRates	entry	Audio RAM	audio	rom,live	How fast each channel's vibrato oscillates.
WRAM0	-	$C066	8	wChannelFrequencyLowBytes	entry	Audio RAM	audio	rom,live	The low byte of each channel's current pitch.
WRAM0	-	$C06E	8	wChannelVibratoDelayCounterReloadValues	entry	Audio RAM	audio	rom,live	The value `wChannelVibratoDelayCounters` is reloaded with once its countdown reaches zero. Measured across a real playthrough (walk, a forced battle, menus): changed value, during battle-trigger, intro; values seen: [0, 6, 9].
WRAM0	-	$C076	8	wChannelPitchSlideLengthModifiers	entry	Audio RAM	audio	rom,live	How many steps a channel's pitch slide takes to complete. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C07E	8	wChannelPitchSlideFrequencySteps	entry	Audio RAM	audio	rom,live	How far the pitch moves each step of a channel's slide. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C086	8	wChannelPitchSlideFrequencyStepsFractionalPart	entry	Audio RAM	audio	rom,live	The sub-integer remainder of `wChannelPitchSlideFrequencySteps`, carried so a slow slide still lands exactly on its target frequency. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C08E	8	wChannelPitchSlideCurrentFrequencyFractionalPart	entry	Audio RAM	audio	rom,live	The sub-integer remainder of a channel's pitch as its slide moves it, kept beside the whole-number frequency bytes. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C096	8	wChannelPitchSlideCurrentFrequencyHighBytes	entry	Audio RAM	audio	rom,live	The high byte of each channel's pitch as a slide is moving it toward the target frequency. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C09E	8	wChannelPitchSlideCurrentFrequencyLowBytes	entry	Audio RAM	audio	rom,live	
WRAM0	-	$C0A6	8	wChannelPitchSlideTargetFrequencyHighBytes	entry	Audio RAM	audio	rom,live	The high byte of the frequency a channel's pitch slide is moving toward. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C0AE	8	wChannelPitchSlideTargetFrequencyLowBytes	entry	Audio RAM	audio	rom,live	The low byte of the frequency a channel's pitch slide is moving toward. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C0B6	8	wChannelNoteDelayCounters	entry	Audio RAM	audio	rom,live	
WRAM0	-	$C0BE	8	wChannelLoopCounters	entry	Audio RAM	audio	rom,live	How many repeats are left of a looped section of a channel's command stream. Measured across a real playthrough (walk, a forced battle, menus): written from bank 2 `$5A8A`, during intro; values seen: [0, 1].
WRAM0	-	$C0C6	8	wChannelNoteSpeeds	entry	Audio RAM	audio	rom,live	How many frames each of a channel's notes lasts. Measured across a real playthrough (walk, a forced battle, menus): written from bank 31 `$5368` and bank 2 `$5A8A`, during battle-trigger, intro, walk/menus; values seen: [0, 1, 8, 12].
WRAM0	-	$C0CE	8	wChannelNoteDelayCountersFractionalPart	entry	Audio RAM	audio	rom,live	The sub-frame remainder of a channel's note-length countdown (`wChannelNoteDelayCounters`), carried so a note's length stays accurate over many notes. Measured across a real playthrough (walk, a forced battle, menus): written from bank 31 `$55C3` and bank 8 `$5CD0`, during battle, battle-trigger, intro, post-battle menus, walk/menus; 12 distinct values seen, 0-240.
WRAM0	-	$C0D6	8	wChannelOctaves	entry	Audio RAM	audio	rom,live	Each channel's current octave. Measured across a real playthrough (walk, a forced battle, menus): written from bank 31 `$54E2` and bank 8 `$5BEF`, during battle, battle-trigger, intro, post-battle menus, walk/menus; values seen: [0, 4, 5, 6].
WRAM0	-	$C0DE	8	wChannelVolumes	entry	Audio RAM	audio	rom,live	Each channel's current volume. Measured across a real playthrough (walk, a forced battle, menus): written from bank 31 `$5393` and bank 8 `$5AA0`, during battle, battle-trigger, intro, post-battle menus, walk/menus; 15 distinct values seen, 0-231.
WRAM0	-	$C0E6	1	wMusicWaveInstrument	entry	Audio RAM	audio	rom,live	Which of the wave channel's four instrument samples the current music track is using. Measured across a real playthrough (walk, a forced battle, menus): changed value, during battle-trigger, intro; values seen: [0, 1].
WRAM0	-	$C0E7	1	wSfxWaveInstrument	entry	Audio RAM	audio	rom,live	Which of the wave channel's four instrument samples the current sound effect is using — kept separate from `wMusicWaveInstrument` so a sound effect borrowing the wave channel does not change what the music resumes with. Measured across a real playthrough (walk, a forced battle, menus): changed value, during intro; values seen: [0].
WRAM0	-	$C0E8	2	wMusicTempo	entry	Audio RAM	audio	rom,live	The current music track's tempo. Measured across a real playthrough (walk, a forced battle, menus): written from bank 2 `$5A7D`, during battle-trigger, intro; values seen: [0, 1].
WRAM0	-	$C0EA	2	wSfxTempo	entry	Audio RAM	audio	rom,live	The current sound effect's tempo, kept separate from `wMusicTempo` for the same reason `wSfxWaveInstrument` is. Measured across a real playthrough (walk, a forced battle, menus): written from 3 places, chiefly bank 2 `$5A80`, during battle, intro; values seen: [0, 1].
WRAM0	-	$C0EC	2	wSfxHeaderPointer	entry	Audio RAM	audio	rom,live	Pointer to the currently-playing sound effect's own header in ROM. Measured across a real playthrough (walk, a forced battle, menus): written from bank 31 `$59CE`, during battle, intro; values seen: [0, 64, 65, 66].
WRAM0	-	$C0EE	1	wNewSoundID	entry	Audio RAM	audio	rom,live	The sound requested this frame, before the engine has acted on it.
WRAM0	-	$C0EF	1	wAudioROMBank	entry	Audio RAM	audio	rom,live	Which bank the currently playing music lives in — the sound data is banked like everything else.
WRAM0	-	$C0F0	1	wAudioSavedROMBank	entry	Audio RAM	audio	rom,live	The bank to return to after the sound engine has finished.
WRAM0	-	$C0F1	1	wFrequencyModifier	entry	Audio RAM	audio	rom,live	Added to a channel's frequency bytes as a note plays — the vibrato and pitch-slide effects both work by writing here rather than by touching the note's own base frequency. Measured across a real playthrough (walk, a forced battle, menus): changed value, during battle, intro; values seen: [0, 32, 96, 128, 238, 248].
WRAM0	-	$C0F2	14	wTempoModifier	entry	Audio RAM	audio	rom,live	Per-channel adjustment to the base tempo. Measured across a real playthrough (walk, a forced battle, menus): changed value, during battle, intro; values seen: [0, 1, 16, 48, 64, 96, 128].
WRAM0	-	$C100	1	wSpriteStateData1	entry	Sprite State Data	sprites	rom,live	Sixteen 16-byte sprite structures. **Slot 0 is the player**; slots 1-15 are the map's objects. This half holds screen position and animation; `wSpriteStateData2` holds map position and identity.
WRAM0	-	$C100	1	wSpriteDataStart	alias	Sprite State Data	sprites	rom,live	First byte of the sprite state, an alias of `wSpriteStateData1`.
WRAM0	-	$C100	1	wSpritePlayerStateData1	alias	Sprite State Data	sprites	rom,live	Slot 0 of the first sprite bank: the player. Every other slot has the same shape.
WRAM0	-	$C100	1	wSpritePlayerStateData1PictureID	alias	Sprite State Data	sprites	rom,live	Which sprite sheet this slot draws from. 0 means the slot is unused.
WRAM0	-	$C101	1	wSpritePlayerStateData1MovementStatus	entry	Sprite State Data	sprites	rom,live	What the slot is doing: standing, walking, or being scripted.
WRAM0	-	$C102	1	wSpritePlayerStateData1ImageIndex	entry	Sprite State Data	sprites	rom,live	Which frame of the sheet is showing. `$FF` hides the slot.
WRAM0	-	$C103	1	wSpritePlayerStateData1YStepVector	entry	Sprite State Data	sprites	rom,live	How far the slot moves vertically per frame of a step.
WRAM0	-	$C104	1	wSpritePlayerStateData1YPixels	entry	Sprite State Data	sprites	rom,live	Screen position, vertical. **The engine owns these while a step is in progress** — it shifts every slot two pixels a frame against the player's motion so they appear to stay put on the map. Writing them mid-step makes an object ride the camera and then snap.
WRAM0	-	$C105	1	wSpritePlayerStateData1XStepVector	entry	Sprite State Data	sprites	rom,live	How far the slot moves horizontally per frame of a step.
WRAM0	-	$C106	1	wSpritePlayerStateData1XPixels	entry	Sprite State Data	sprites	rom,live	Screen position, horizontal.
WRAM0	-	$C107	1	wSpritePlayerStateData1IntraAnimFrameCounter	entry	Sprite State Data	sprites	rom,live	Frames left on the player sprite's current animation frame before it advances to the next one. Measured across a real playthrough (walk, a forced battle, menus): written from 3 places, chiefly bank 1 `$4E9E`, during intro, walk/menus; values seen: [0, 1, 2, 3, 4].
WRAM0	-	$C108	1	wSpritePlayerStateData1AnimFrameCounter	entry	Sprite State Data	sprites	rom,live	Which frame of the player sprite's walking/facing animation is currently showing. Measured across a real playthrough (walk, a forced battle, menus): written from bank 1 `$4EAA` and bank 1 `$4E81`, during intro, walk/menus; values seen: [0, 1, 2, 3].
WRAM0	-	$C109	1	wSpritePlayerStateData1FacingDirection	entry	Sprite State Data	sprites	rom,live	Which way the slot faces: 0 down, 4 up, 8 left, 12 right.
WRAM0	-	$C10A	1	wSpritePlayerStateData1YAdjusted	entry	Sprite State Data	sprites	live	The player sprite's own screen Y position, adjusted for the mid-step camera offset — distinct from `wSpritePlayerStateData2YDisplacement`, which is the raw displacement this is derived from. Measured across a real playthrough (walk, a forced battle, menus): written from 3 places, chiefly bank 1 `$4CA3`, during intro, walk/menus; values seen: [0, 57, 64, 71].
WRAM0	-	$C10B	1	wSpritePlayerStateData1XAdjusted	entry	Sprite State Data	sprites	live	The player sprite's own screen X position, adjusted for the mid-step camera offset. Measured across a real playthrough (walk, a forced battle, menus): written from 3 places, chiefly bank 1 `$4CA0`, during intro, walk/menus; values seen: [0, 57, 64, 71].
WRAM0	-	$C10C	4	wSpritePlayerStateData1CollisionData	entry	Sprite State Data	sprites	rom,live	Which of the four directions are blocked for this slot.
WRAM0	-	$C110	1	wSprite01StateData1PictureID	entry	Sprite State Data	sprites	rom,live	Which sprite sheet map object 1 draws from; 0 means the slot is unused, and it is the only thing `PrepareOAMData` checks before drawing the slot.
WRAM0	-	$C110	1	wSprite01StateData1	alias	Sprite State Data	sprites	rom,live	Map object 1's first-bank structure.
WRAM0	-	$C110	1	wSpritePlayerStateData1End	alias	Sprite State Data	sprites	rom,live	One past the player slot's first-bank structure.
WRAM0	-	$C111	1	wSprite01StateData1MovementStatus	entry	Sprite State Data	sprites	rom,live	What map object 1 is doing: standing, walking, or being scripted.
